**Ты решаешь задачу разрешения кореференции (coreference resolution) в текстах на русском языке с помощью пошагового рассуждения (Chain-of-Thought).**

Следуй указанным шагам:

---

### 🔹 Шаг 1 (Извлечение упоминаний):

- Прочитай текст. На вход подаётся текст с BIO-разметкой сущностей.
- Выпиши все упоминания сущностей, принадлежащие следующим классам: Activity, Application, Dataset, Environment, InfoResource, Lang, Method, Method_ML, Metric, Model, Object, Organization, Person, Science, Subject, Task, а также местоимения и фразы, которые могут на них ссылаться.
- Учитывай не только имена собственные, но и абстрактные понятия (например, "база знаний", "информация", "уязвимости"), если на них ссылаются в тексте.

---

### 🔹 Шаг 2 (Определение кореферентных упоминаний и группировка):

- Определи, какие из упоминаний относятся к одной и той же сущности.
- Учитывай грамматические признаки (род, число, падеж), контекст и смысл текста.
- Если возникают сомнения, выбери наиболее вероятную связь. В сложных случаях можешь кратко пояснить причину (1–2 слова).
- Сгруппируй упоминания по кластерам — каждому кластеру соответствует одна сущность.

---

### 🔹 Шаг 3 (Итоговый результат):

- Верни только результат в виде массива массивов.
- Каждый внутренний массив — отдельный кластер кореферентных упоминаний.
- Не добавляй комментариев, пояснений или шагов рассуждения к итоговому выводу.

---
### 📌 Пример:

**Текст с BIO-разметкой:**

Мария B-PERSON
морфологии B-Method  
и O  
токенизации B-Method  
, O  
протестировали O  
разные O  
варианты O  
и O  
оценили O  
их O  
применение O  
. O  
Делимся O  
опытом O  
в O  
этом O  
посте O  
. O  

Подготовка O  
к O  
отбору O  

Начнём O  
с O  
основ O  
: O  
как O  
все O  
работает O  
? O  
Мы O  
берем O  
текст O  
, O  
проводим O  
токенизацию B-Method  
и O  
получаем O  
некоторый O  
массив O  
псевдослов-токенов O  
. O  
Этапы O  
дальнейшего O  
анализа O  
укладываются O  
в O  
пирамиду O  
: O  

Начинается O  
все O  
с O  
морфологии B-Method  
— O  
с O  
анализа B-Method  
формы I-Method  
слова I-Method  
и O  
его O  
грамматических O  
категорий O  
( O  
род O  
, O  
падеж O  
и O  
т.п. O  
) O  
. O  
На O  
морфологии B-Method  
базируется O  
синтаксис B-Method  
— O  
взаимоотношения O  
за O  
рамками O  
одного O  
слова O  
, O  
между O  
словами O  
. O  
Синтаксические B-Method  
парсеры I-Method  
, O  
о O  
которых O  
пойдет O  
речь O  
, O  
анализируют O  
текст O  
и O  
выдают O  
структуру O  
зависимостей O  
слов O  
друг O  
от O  
друга O  
. O  

Грамматика B-Method  
зависимостей I-Method  
и O  
грамматика B-Method  
непосредственных I-Method  
составляющих I-Method  

Есть O  
два O  
основных O  
подхода O  
к O  
синтаксическому B-Method  
анализу I-Method  
, O  
которые O  
в O  
лингвистической B-Science  
теории I-Science  
существуют O  
примерно O  
на O  
равных O  
. O  

В O  
первой O  
строке O  
предложение O  
разобрано O  
в O  
рамках O  
грамматики B-Method  
зависимостей I-Method  
. O  
Этому O  
подходу O  
учат O  
в O  
школе O  
. O  
Каждое O  
слово O  
в O  
предложении O  
как-то O  
связано O  
с O  
другими O  
. O  
« O  
Мыла O  
» O  
— O  
сказуемое O  
, O  
от O  
которого O  
зависит O  
подлежащее O  
« O  
мама O  
» O  
( O  
здесь O  
грамматика B-Method  
зависимостей I-Method  
расходится O  
со O  
школьной O  
, O  
где O  
сказуемое O  
зависит O  
от O  
подлежащего O  
) O  
. O  
У O  
подлежащего O  
есть O  
зависимое O  
определение O  
« O  
моя O  
» O  
. O  
У O  
сказуемого O  
есть O  
зависимое O  
прямое O  
дополнение O  
« O  
раму O  
» O  
. O  
А O  
у O  
прямого O  
дополнения O  
« O  
раму O  
» O  
— O  
определение O  
« O  
грязную O  
» O  
. O  

Во O  
второй O  
строке O  
разбор O  
идет O  
в O  
соответствии O  
с O  
грамматикой B-Method  
непосредственно I-Method  
составляющих I-Method  
. O  

Согласно O  
ей O  
, O  
предложение O  
делится O  
на O  
группы O  
слов O  
( O  
phrases O  
) O  
. O  
Слова O  
внутри O  
одной O  
группы O  
связаны O  
теснее O  
. O  
Слова O  
« O  
моя O  
» O  
и O  
« O  
мама O  
» O  
связаны O  
более O  
тесно O  
, O  
« O  
раму O  
» O  
и O  
« O  
грязную O  
» O  
— O  
тоже O  
. O  
И O  
есть O  
еще O  
отдельное O  
« O  
мыла O  
» O  
. O  

Второй O  
подход O  
для O  
автоматического O  
парсинга B-Method  
русского B-Lang  
языка I-Lang  
применим O  
плохо O  
, O  
потому O  
что O  
в O  
нем O  
тесно O  
связанные O  
слова O  
( O  
члены O  
одной O  
группы O  
) O  
очень O  
часто O  
не O  
стоят O  
подряд O  
. O  
Нам O  
пришлось O  
бы O  
объединять O  
их O  
странными O  
скобками O  
— O  
через O  
одно O  
или O  
два O  
слова O  
. O  
Поэтому O  
в O  
автоматическом O  
парсинге B-Method  
русского B-Lang  
языка I-Lang  
принято O  
работать O  
исходя O  
из O  
грамматики B-Method  
зависимостей I-Method  
. O  
Это O  
удобно O  
еще O  
и O  
потому O  
, O  
что O  
с O  
таким O  
« O  
фреймворком O  
» O  
все O  
знакомы O  
по O  
школе O  
. O  

Дерево B-Object  
зависимостей I-Object  

Набор O  
зависимостей O  
мы O  
можем O  
перевести O  
в O  
древовидную O  
структуру O  
. O  
Вершина O  
— O  
слово O  
« O  
мыла O  
» O  
, O  
некоторые O  
слова O  
напрямую O  
зависят O  
от O  
него O  
, O  
некоторые O  
зависят O  
от O  
его O  
зависимых O  
. O  
Вот O  
определение O  
дерева B-Object  
зависимостей I-Object  
из O  
учебника O  
Мартина B-Person  
и O  
Журафского B-Person  
: O  

Dependency B-Subject  
tree I-Subject  
is I-Subject  
a I-Subject  
directed I-Subject  
graph I-Subject  
that I-Subject  
satisfies I-Subject  
the I-Subject  
following I-Subject  
constraints I-Subject  
: O  

There O  
is O  
a O  
single O  
designated O  
root O  
node O  
that O  
has O  
no O  
incoming O  
arcs O  
. O  

With O  
the O  
exception O  
of O  
the O  
root O  
node O  
, O  
each O  
vertex O  
has O  
exactly O  
one O  
incoming O  
arc O  
. O  

There O  
is O  
a O  
unique O  
path O  
from O  
the O  
root O  
node O  
to O  
each O  
vertex O  
in O  
V O  
. O  

Есть O  
верхнеуровневый O  
узел O  
— O  
сказуемое O  
. O  
Из O  
него O  
можно O  
дойти O  
до O  
любого O  
слова O  
. O  
Каждое O  
слово O  
зависит O  
от O  
другого O  
, O  
но O  
только O  
от O  
одного O  
. O  
Дерево B-Object  
зависимостей I-Object  
выглядит O  
примерно O  
так O  
: O  

В O  
этом O  
дереве O  
рёбра O  
подписаны O  
некоторым O  
особым O  
типом O  
синтаксического O  
отношения O  
. O  
В O  
грамматике B-Method  
зависимостей I-Method  
анализируют O  
не O  
только O  
факт O  
связи O  
между O  
словами O  
, O  
но O  
и O  
характер O  
этой O  
связи O  
. O  
Например O  
, O  
« O  
is O  
taken O  
» O  
— O  
это O  
почти O  
одна O  
глагольная O  
форма O  
, O  
« O  
inventory O  
» O  
— O  
это O  
подлежащее O  
для O  
« O  
is O  
taken O  
» O  
. O  
Соответственно O  
, O  
у O  
нас O  
от O  
« O  
is O  
» O  
есть O  
ребро O  
и O  
в O  
одну O  
, O  
и O  
в O  
другую O  
сторону O  
. O  
Это O  
не O  
одинаковые O  
связи O  
, O  
они O  
носят O  
разный O  
характер O  
, O  
так O  
что O  
их O  
надо O  
различать O  
. O  

Здесь O  
и O  
далее O  
мы O  
рассматриваем O  
простые O  
случаи O  
, O  
где O  
члены O  
предложения O  
присутствуют O  
, O  
а O  
не O  
подразумеваются O  
. O  
Существуют O  
структуры O  
и O  
отметки O  
, O  
позволяющие O  
бороться O  
с O  
пропусками O  
. O  
В O  
дереве O  
появляется O  
нечто O  
, O  
у O  
чего O  
нет O  
поверхностного O  
выражения O  
— O  
слова O  
. O  
Но O  
это O  
уже O  
предмет O  
другого O  
исследования O  
, O  
а O  
нам O  
все-таки O  
надо O  
сосредоточиться O  
на O  
своем O  
. O  

Проект B-InfoResource  
Universal I-InfoResource  
Dependencies I-InfoResource  

Чтобы O  
облегчить O  
себе O  
выбор O  
парсера B-Method  
, O  
мы O  
обратили O  
свой O  
взгляд O  
на O  
проект B-InfoResource  
Universal I-InfoResource  
Dependencies I-InfoResource  
и O  
недавно O  
прошедшее O  
в O  
его O  
рамках O  
соревнование B-Activity  
CoNLL B-Activity  
Shared I-Activity  
Task I-Activity  
. O  

Universal B-InfoResource  
Dependencies I-InfoResource  
— O  
это O  
проект O  
по O  
унификации O  
разметки O  
синтаксических O  
корпусов O  
( O  
трибанков O  
) O  
в O  
рамках O  
грамматики B-Method  
зависимостей I-Method  
. O  
В O  
русском B-Lang  
языке I-Lang  
количество O  
типов O  
синтаксических O  
связей O  
ограничено O  
— O  
подлежащее O  
, O  
сказуемое O  
и O  
т.д O  
. O  
В O  
английском B-Lang  
то O  
же O  
самое O  
, O  
но O  
набор O  
уже O  
другой O  
. O  
Например O  
, O  
там O  
появляется O  
артикль O  
, O  
который O  
тоже O  
надо O  
как-то O  
маркировать O  
. O  
Если O  
бы O  
мы O  
хотели O  
написать O  
волшебный O  
парсер B-Method  
, O  
который O  
мог O  
бы O  
обрабатывать O  
все O  
языки O  
, O  
то O  
довольно O  
быстро O  
уперлись O  
бы O  
в O  
проблемы O  
сопоставления O  
разных O  
грамматик O  
. O  
Героическим O  
создателям O  
Universal B-InfoResource  
Dependencies I-InfoResource  
удалось O  
договориться O  
между O  
собой O  
и O  
разметить O  
все O  
корпусы O  
, O  
которые O  
имелись O  
в O  
их O  
распоряжении O  
, O  
в O  
едином O  
формате O  
. O  
Не O  
очень O  
важно O  
, O  
как O  
именно O  
они O  
договорились O  
, O  
главное O  
, O  
что O  
на O  
выходе O  
мы O  
получили O  
некий O  
единообразный O  
формат O  
представления O  
всей O  
этой O  
истории O  
— O  
более O  
100 O  
трибанков O  
для O  
60 O  
языков O  
. O  

CoNLL B-Activity  
Shared I-Activity  
Task I-Activity  
— O  
это O  
соревнование O  
между O  
разработчиками O  
алгоритмов O  
синтаксического B-Method  
парсинга I-Method  
, O  
проводимое O  
в O  
рамках O  
проекта B-InfoResource  
Universal I-InfoResource  
Dependencies I-InfoResource  
. O  
Организаторы O  
берут O  
некоторое O  
количество O  
трибанков O  
и O  
разбивают O  
каждый O  
из O  
них O  
на O  
три O  
части O  
— O  
обучающую O  
, O  
валидационную O  
и O  
тестовую O  
. O  
Первая O  
часть O  
предоставляется O  
участникам O  
соревнования O  
, O  
чтобы O  
они O  
обучили O  
на O  
ней O  
свои O  
модели B-Model  
. O  
Вторая O  
часть O  
тоже O  
используется O  
участниками O  
— O  
чтобы O  
после O  
обучения O  
оценить O  
работу O  
алгоритма O  
. O  
Обучение O  
и O  
оценку O  
участники O  
могут O  
итеративно O  
повторять O  
. O  
Потом O  
они O  
отдают O  
свой O  
лучший O  
алгоритм O  
организаторам O  
, O  
которые O  
прогоняют O  
его O  
на O  
тестовой O  
части O  
, O  
закрытой O  
для O  
участников O  
. O  
Итоги O  
работы O  
моделей B-Model  
на O  
тестовых O  
частях O  
трибанков O  
— O  
это O  
и O  
есть O  
итоги O  
соревнования O  
. O  

Метрики B-Metric  
качества I-Metric  

У O  
нас O  
есть O  
связи O  
между O  
словами O  
и O  
их O  
типы O  
. O  
Мы O  
можем O  
оценивать O  
, O  
правильно O  
ли O  
нашли O  
вершину O  
слова O  
— O  
метрика B-Metric  
UAS I-Metric  
( O  
Unlabeled I-Metric  
attachment I-Metric  
score I-Metric  
) O  
. O  
Или O  
оценивать O  
, O  
правильно O  
ли O  
найдена O  
как O  
вершина O  
, O  
так O  
и O  
тип O  
зависимости O  
— O  
метрика B-Metric  
LAS I-Metric  
( O  
Labeled I-Metric  
attachment I-Metric  
score I-Metric  
) O  
. O  

Казалось O  
бы O  
, O  
здесь O  
напрашивается O  
оценка B-Metric  
точности I-Metric  
( O  
accuracy B-Metric  
) O  
— O  
считаем O  
, O  
сколько O  
раз O  
мы O  
попали O  
из O  
общего O  
количества O  
случаев O  
. O  
Если O  
у O  
нас O  
есть O  
5 O  
слов O  
и O  
для O  
4 O  
мы O  
правильно O  
определили O  
вершину O  
, O  
то O  
получаем O  
80 O  
% O  
. O  

Но O  
на O  
самом O  
деле O  
оценить O  
парсер B-Method  
в O  
чистом O  
виде O  
проблематично O  
. O  
Разработчики O  
, O  
решающие O  
задачи O  
автоматического O  
парсинга B-Method  
, O  
часто O  
берут O  
на O  
вход O  
сырой O  
текст O  
, O  
который O  
в O  
соответствии O  
с O  
пирамидой O  
анализа O  
проходит O  
этапы O  
токенизации B-Method  
и O  
морфологического B-Method  
анализа I-Method  
. O  
На O  
качество O  
работы O  
парсера B-Method  
могут O  
повлиять O  
ошибки O  
с O  
этих O  
более O  
ранних O  
этапов O  
. O  
В O  
частности O  
, O  
это O  
относится O  
к O  
процедуре O  
токенизации B-Method  
— O  
выделения O  
слов O  
. O  
Если O  
мы O  
выделили O  
неправильные O  
слова-юниты O  
, O  
то O  
уже O  
не O  
сможем O  
корректно O  
оценить O  
синтаксические B-Method  
связи I-Method  
между O  
ними O  
— O  
ведь O  
в O  
нашем O  
исходном O  
размеченном O  
корпусе O  
юниты O  
были O  
другие O  
. O  

Поэтому O  
формулой O  
оценки B-Metric  
в O  
данном O  
случае O  
является O  
ф-мера B-Metric  
, O  
где O  
точность B-Metric  
( O  
precision B-Metric  
) O  
— O  
доля O  
точных O  
попаданий O  
относительно O  
общего O  
числа O  
предсказаний O  
, O  
а O  
полнота B-Metric  
— O  
доля O  
точных O  
попаданий O  
относительно O  
числа O  
связей O  
в O  
размеченных O  
данных O  
. O  

Когда O  
мы O  
в O  
дальнейшем O  
будем O  
приводить O  
оценки B-Metric  
, O  
нужно O  
помнить O  
, O  
что O  
используемые O  
метрики B-Metric  
затрагивают O  
не O  
только O  
синтаксис B-Method  
, O  
но O  
еще O  
и O  
качество O  
разбиения O  
на O  
токены O  
. O  

Русский B-Lang  
язык I-Lang  
в O  
Universal B-InfoResource  
Dependencies I-InfoResource  

Для O  
того O  
, O  
чтобы O  
парсер B-Method  
смог O  
синтаксически O  
размечать O  
предложения O  
, O  
которых O  
он O  
еще O  
не O  
видел O  
, O  
ему O  
для O  
обучения O  
нужно O  
скормить O  
размеченный O  
корпус O  
. O  
Для O  
русского B-Lang  
языка I-Lang  
есть O  
несколько O  
таких O  
корпусов O  
: O  

Во O  
втором O  
столбце O  
указано O  
количество O  
токенов O  
— O  
слов O  
. O  
Чем O  
больше O  
токенов O  
, O  
тем O  
больше O  
обучающий O  
корпус O  
и O  
лучше O  
итоговый O  
алгоритм O  
( O  
если O  
это O  
хорошие O  
данные O  
) O  
. O  
Очевидно O  
, O  
что O  
все O  
эксперименты O  
проводятся O  
на O  
SynTagRus B-Dataset  
( O  
разработка O  
ИППИ B-Organization  
РАН I-Organization  
) O  
, O  
в котором более миллиона токенов O  
. O  
На O  
нем O  
будут O  
обучаться O  
все O  
алгоритмы O  
, O  
о O  
которых O  
пойдет O  
речь O  
дальше O  
. O  

Парсеры B-Method  
для O  
русского B-Lang  
языка I-Lang  
в O  
CoNLL B-Activity  
Shared I-Activity  
Task I-Activity  

По O  
итогам O  
соревнования O  
прошлого O  
года O  
модели B-Model  
, O  
которые O  
обучались O  
на O  
одном O  
и O  
том O  
же O  
SynTagRus B-Dataset  
, O  
достигли O  
следующих O  
показателей O  
LAS B-Metric  
: O  

Результаты O  
парсеров B-Method  
для O  
русского B-Lang  
впечатляют O  
— O  
они O  
лучше O  
чем O  
у O  
парсеров B-Method  
для O  
английского B-Lang  
, O  
французского B-Lang  
и O  
других O  
более O  
редких O  
языков O  
. O  
Нам O  
с O  
вами O  
очень O  
повезло O  
сразу O  
по O  
двум O  
причинам O  
. O  
Во-первых O  
, O  
алгоритмы O  
хорошо O  
справляются O  
с O  
русским B-Lang  
языком I-Lang  
. O  
Во-вторых O  
, O  
у O  
нас O  
есть O  
SynTagRus B-Dataset  
— O  
большой O  
и O  
размеченный O  
корпус O  
. O  

Кстати O  
, O  
уже O  
прошло O  
соревнование O  
2018 O  
года O  
, O  
но O  
своё O  
исследование O  
мы O  
проводили O  
весной O  
этого O  
года O  
, O  
так O  
что O  
мы O  
опираемся O  
на O  
итоги O  
дорожки O  
прошлого O  
года O  
. O  
Забегая O  
вперёд O  
, O  
заметим O  
, O  
что O  
новая O  
версия O  
UDPipe B-Application  
( O  
Future O  
) O  
оказалась O  
ещё O  
выше O  
в O  
этом O  
году O  
. O  

В O  
список O  
не O  
вошёл O  
Syntaxnet B-Application  
— O  
парсер B-Method  
Google B-Organization  
. O  
Что O  
с O  
ним O  
не O  
так O  
? O  
Ответ O  
прост O  
: O  
Syntaxnet B-Application  
начинался O  
лишь O  
с O  
этапа O  
морфологического B-Method  
анализа I-Method  
. O  
Он O  
брал O  
готовую O  
идеальную O  
токенизацию B-Method  
, O  
а O  
уже O  
поверх O  
строил O  
обработку O  
. O  
Поэтому O  
оценивать O  
его O  
наравне O  
с O  
остальными O  
нечестно O  
— O  
остальные O  
делали O  
разбиение O  
на O  
токены O  
своими O  
алгоритмами O  
, O  
и O  
это O  
могло O  
ухудшить O  
результаты O  
на O  
последующем O  
этапе O  
синтаксиса B-Method  
. O  
У O  
Syntaxnet B-Application  
образца O  
2017 O  
года O  
результат O  
лучше O  
, O  
чем O  
у O  
всего O  
списка O  
выше O  
, O  
но O  
проводить O  
сравнение O  
напрямую O  
нечестно O  
. O  

В O  
таблицу O  
попали O  
две O  
версии O  
UDPipe B-Application  
, O  
на O  
12 O  
и O  
15 O  
места O  
. O  
Разработкой O  
этого O  
парсера B-Method  
занимаются O  
те O  
же O  
люди O  
, O  
которые O  
принимали O  
активное O  
участие O  
в O  
самом O  
проекте B-InfoResource  
Universal I-InfoResource  
Dependencies I-InfoResource  
. O  

Периодически O  
появляются O  
обновления O  
UDPipe B-Application  
( O  
несколько O  
реже O  
, O  
кстати O  
, O  
обновляется O  
и O  
разметка O  
корпусов O  
) O  
. O  
Так O  
, O  
уже O  
после O  
соревнования O  
прошлого O  
года O  
UDPipe B-Application  
обновлялся O  
( O  
это O  
были O  
коммиты O  
в O  
ещё O  
не O  
вышедшую O  
версию O  
2.0 O  
; O  
в O  
дальнейшем O  
для O  
простоты O  
мы O  
будем O  
грубо O  
называть O  
взятый O  
нами O  
коммит O  
UDPipe B-Application  
2.0 I-Application  
, O  
хотя O  
строго O  
говоря O  
это O  
не O  
так O  
) O  
; O  
этих O  
обновлений O  
в O  
таблице O  
соревнования O  
, O  
разумеется O  
, O  
нет O  
. O  
Результат O  
« O  
нашего O  
» O  
коммита O  
находится O  
примерно O  
в O  
районе O  
седьмого O  
места O  
. O  

Итак O  
, O  
нам O  
нужно O  
выбрать O  
парсер B-Method  
для O  
русского B-Lang  
языка I-Lang  
. O  
В O  
качестве O  
начальных O  
данных O  
у O  
нас O  
есть O  
табличка O  
выше O  
с O  
лидирующим O  
Syntaxnet B-Application  
и O  
с O  
UDPipe B-Application  
2.0 I-Application  
где-то O  
на O  
7 O  
месте O  
. O  

Выбираем O  
модель B-Model  

Делаем O  
просто O  
: O  
начинаем O  
с O  
парсера B-Method  
с O  
самыми O  
высокими O  
показателями O  
. O  
Если O  
с O  
ним O  
что-то O  
не O  
так O  
, O  
идём O  
ниже O  
. O  
Что-то O  
не O  
так O  
может O  
быть O  
по O  
следующим O  
критериям O  
— O  
может O  
, O  
они O  
не O  
идеальны O  
, O  
но O  
нам O  
подошли O  
: O  

Скорость O  
работы O  
. O  
Наш O  
парсер B-Method  
должен O  
работать O  
достаточно O  
быстро O  
. O  
Синтаксис B-Method  
, O  
разумеется O  
, O  
далеко O  
не O  
единственный O  
модуль O  
« O  
под O  
капотом O  
» O  
real-time O  
системы O  
, O  
поэтому O  
тратить O  
на O  
него O  
больше O  
десятка O  
миллисекунд O  
не O  
стоит O  
. O  

Качество O  
работы O  
. O  
Как O  
минимум O  
, O  
самого O  
парсера B-Method  
именно O  
на O  
данных O  
русского B-Lang  
языка I-Lang  
. O  
Требование O  
очевидное O  
. O  
Для O  
русского B-Lang  
языка I-Lang  
у O  
нас O  
есть O  
достаточно O  
хорошие O  
морфологические B-Method  
анализаторы I-Method  
, O  
которые O  
могут O  
встроиться O  
в O  
нашу O  
пирамиду O  
. O  
Если O  
мы O  
сможем O  
убедиться O  
, O  
что O  
сам O  
парсер B-Method  
без O  
морфологии B-Method  
круто O  
работает O  
, O  
то O  
это O  
нас O  
устроит O  
— O  
морфологию B-Method  
подсунем O  
потом O  
. O  

Наличие O  
кода O  
обучения O  
и O  
желательно O  
модели B-Model  
в O  
открытом O  
доступе O  
. O  
При O  
наличии O  
кода O  
обучения O  
мы O  
будем O  
способны O  
повторить O  
результаты O  
автора O  
модели B-Model  
. O  
Для O  
этого O  
они O  
должны O  
быть O  
открыты O  
. O  
И O  
, O  
кроме O  
того O  
, O  
нужно O  
внимательно O  
следить O  
за O  
условиями O  
распространения O  
корпусов O  
и O  
модели B-Model  
— O  
придётся O  
ли O  
нам O  
, O  
если O  
мы O  
будем O  
их O  
использовать O  
в O  
рамках O  
своих O  
алгоритмов O  
, O  
покупать O  
лицензию O  
на O  
их O  
использование O  
? O  

Запуск O  
без O  
сверхусилий O  
. O  
Этот O  
пункт O  
очень O  
субъективный O  
, O  
но O  
важный O  
. O  
Что O  
это O  
значит O  
? O  
Это O  
значит O  
, O  
что O  
если O  
мы O  
три O  
дня O  
сидим O  
и O  
что-то O  
запускаем O  
, O  
а O  
оно O  
не O  
запускается O  
, O  
то O  
выбрать O  
этот O  
парсер B-Method  
мы O  
не O  
сможем O  
, O  
даже O  
если O  
там O  
будет O  
идеальное O  
качество O  
. O  

Все O  
, O  
что O  
в O  
чарте O  
парсеров B-Method  
было O  
выше O  
UDPipe B-Application  
2.0 I-Application  
, O  
нам O  
не O  
подошло O  
. O  
У O  
нас O  
проект O  
на O  
Python O  
, O  
а O  
некоторые O  
парсеры B-Method  
из O  
списка O  
написаны O  
не O  
на O  
Python O  
. O  
Чтобы O  
имплементировать O  
их O  
в O  
питонский O  
проект O  
, O  
пришлось O  
бы O  
применить O  
те O  
самые O  
сверхусилия O  
. O  
В O  
других O  
случаях O  
мы O  
сталкивались O  
с O  
закрытым O  
исходным O  
кодом O  
, O  
академическими O  
, O  
индустриальными O  
разработками O  
— O  
в O  
общем O  
, O  
не O  
докопаешься O  
. O  

Звёздный O  
Syntaxnet B-Application  
заслуживает O  
отдельного O  
рассказа O  
про O  
качество O  
работы O  
. O  
Здесь O  
же O  
он O  
нас O  
не O  
устроил O  
по O  
скорости O  
работы O  
. O  
Время O  
его O  
ответа O  
на O  
какие-то O  
простые O  
, O  
распространённые O  
в O  
чатах O  
фразы O  
составляет O  
от O  
100 O  
миллисекунд O  
. O  
Если O  
мы O  
столько O  
будем O  
тратить O  
на O  
синтаксис B-Method  
, O  
нам O  
не O  
хватит O  
времени O  
ни O  
на O  
что O  
другое O  
. O  
В O  
то O  
же O  
самое O  
время O  
UDPipe B-Application  
2 O  
.0 I-Application  
делает O  
разбор O  
предложения O  
за O  
~3ms O  
. O  
В O  
итоге O  
выбор O  
пал O  
на O  
UDPipe B-Application  
2.0 I-Application  
. O  

UDPipe B-Application  
2.0 I-Application  

UDPipe B-Application  
— O  
пайплайн O  
, O  
который O  
обучается O  
токенизации B-Method  
, O  
лемматизации B-Method  
, O  
морфологическому B-Method  
тэггингу I-Method  
и O  
парсингу B-Method  
, O  
основанному O  
на O  
грамматике B-Method  
зависимостей I-Method  
. O  
Мы O  
можем O  
обучить O  
его O  
всему O  
этому O  
или O  
чему-то O  
отдельно O  
. O  
Например O  
, O  
сделать O  
с O  
ним O  
ещё O  
один O  
морфологический B-Method  
анализатор I-Method  
для O  
русского B-Lang  
языка I-Lang  
. O  
Или O  
обучить O  
и O  
использовать O  
UDPipe B-Application  
в O  
качестве O  
токенизатора B-Method  
. O  

UDPipe B-Application  
2.0 I-Application  
подробно O  
задокументирован O  
. O  
Есть O  
описание O  
архитектуры O  
, O  
репозиторий O  
с O  
кодом O  
обучения O  
, O  
мануал O  
. O  
Самое O  
интересное O  
— O  
это O  
готовые O  
модели B-Model  
, O  
в O  
том O  
числе O  
и O  
для O  
русского B-Lang  
языка I-Lang  
. O  
Качай O  
и O  
запускай O  
. O  
Также O  
на O  
этом O  
ресурсе O  
зарелизены O  
подобранные O  
для O  
каждого O  
языкового O  
корпуса O  
параметры O  
обучения O  
. O  
Для O  
каждой O  
такой O  
модели B-Model  
нужно O  
порядка O  
60 O  
параметров O  
обучения O  
, O  
и O  
с O  
их O  
помощью O  
можно O  
самостоятельно O  
добиться O  
таких O  
же O  
показателей O  
качества O  
, O  
как O  
в O  
таблице O  
. O  
Они O  
могут O  
быть O  
не O  
оптимальны O  
, O  
но O  
по O  
крайней O  
мере O  
мы O  
можем O  
быть O  
уверены O  
, O  
что O  
пайплайн O  
будет O  
работать O  
достаточно O  
корректно O  
. O  
Кроме O  
того O  
, O  
наличие O  
такого O  
референса O  
позволяет O  
нам O  
спокойно O  
поэкспериментировать O  
с O  
моделью B-Model  
самостоятельно O  
. O  

Как O  
работает O  
UDPipe B-Application  
2.0 I-Application  

Сначала O  
